,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
0,HP Omnibook 5 OLED,69990.0,,HP,16GB,4.1,1TB,Windows 11,Silver,19.0,16.0
1,HP 15,60490.0,i5,HP,16GB,4.0,512GB,Windows 11,Silver,12.0,15.6
2,"EBook 11.6"" HD Laptop",10990.0,,EBOOK,4GB,5.0,4GB,Windows 11,Black,56.0,11.6
3,HP 15,,Ryzen 3,HP,8GB,4.0,512GB,Windows 11,Silver,,15.6
4,"BrowseBook 14.1"" FHD IPS Laptop",12990.0,,BROWSEBOOK,4GB,3.0,128GB,Windows 11,Grey,57.0,14.1
5,HP 15 Consumer Series Laptop,40654.0,i3,HP,12GB,4.1,512GB,Windows 11,Silver,25.0,15.6
6,HP 15,41990.0,i3,HP,12GB,4.1,512GB,Windows 11,Silver,20.0,15.6
7,Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg),15990.0,,LENOVO,4GB,3.9,4GB,,Blue,56.0,46.0
8,ASUS Vivobook Go 14,34790.0,Ryzen 3,ASUS,8GB,4.1,512GB,Windows 11,Black,21.0,14.0
9,MSI Raider 18,499990.0,,MSI,,3.0,4TB,Windows 11,Black,11.0,46.0
10,Lenovo IdeaPad Slim 3 13th Gen Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/Top Metal Cover/Backlit Keyboard/1Yr ADP/Grey/1.6Kg),62700.0,i5,LENOVO,16GB,4.3,512GB,Windows 11,Grey,24.0,38.8
11,HP OmniBook 3 AMD Ryzen AI 5 330 Next Gen AI Laptop,67990.0,,HP,24GB,4.3,1TB,Windows 11,Silver,19.0,15.6
12,acer Aspire 3,26990.0,,ACER,12GB,3.4,512GB,Windows 11,Silver,25.0,15.6
13,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),12990.0,,THOMSON,4GB,3.0,128GB,,Silver,48.0,
14,HP Victus,62990.0,Ryzen 7,HP,16GB,4.3,512GB,Windows 11,Silver,15.0,15.6
15,ASUS Vivobook S16,67990.0,,ASUS,16GB,4.4,512GB,Windows 11,Metallic,1.0,16.0
16,"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display",28690.0,,HP,,3.4,512GB,Windows 11,Black,5.0,14.0
17,Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6 Inch (39.6cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office Home 2024/3months Game Pass/Arctic Grey/1.62Kg),52400.0,i5,LENOVO,,4.3,512GB,Windows 11,Grey,32.0,39.6
18,HP Victus,80490.0,i5,HP,24GB,3.8,512GB,Windows 11,Silver,20.0,15.6
19,ASUS TUF A15,82990.0,Ryzen 7,ASUS,32GB,4.2,1TB,Windows 11,Graphite,13.0,15.6
20,"Lenovo Ideapad Slim 3 AMD Ryzen 5 7520U 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB/512GB SSD/Windows 11/Microsoft 365 Basic + Office Home 2024/Backlit Keyboard/Grey/1.6Kg)",46699.0,Ryzen 5,LENOVO,,4.0,512GB,Windows 11,Grey,21.0,15.6
21,Primebook 2 Max 2025 (New Launch),22990.0,,PRIMEBOOK,8GB,4.4,8GB,,Gray,34.0,
22,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,20.0,14.0
23,HP Omnibook 5 OLED,69990.0,,HP,16GB,4.1,1TB,Windows 11,Silver,19.0,16.0
24,HP Smartchoice Victus,109990.0,i7,HP,24GB,4.0,1TB,Windows 11,Silver,12.0,15.6
25,JioBook 11 with Lifetime Office,10990.0,,JIOBOOK,4GB,2.9,4GB,,Blue,56.0,
26,ASUS Zenbook 14,114990.0,,ASUS,,4.1,32GB,Windows 11,Blue,28.0,14.0
27,acer Nitro V 15,76990.0,Ryzen 7,ACER,16GB,3.8,512GB,Windows 11,Black,29.0,15.6
28,Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 32GB RAM - 1TB SSD - Platinum - ZID-00014,243990.0,,MICROSOFT,32GB,2.9,1TB,Windows 11,Platinum,2.0,
29,Acer Aspire Lite,46990.0,Ryzen 7,ACER,16GB,4.0,512GB,Windows 11,Gray,30.0,15.6
30,HP Pavilion x360,77490.0,i5,HP,16GB,3.9,1TB,Windows 11,Silver,22.0,14.0
31,Walker Best Student & Office Work Laptop,16990.0,,WALKER,8GB,2.9,256GB,Windows 11,Silver,58.0,15.6
32,Lenovo IdeaPad Slim 3 13th Gen Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/Top Metal Cover/Backlit Keyboard/1Yr ADP/Grey/1.6Kg),62700.0,i5,LENOVO,16GB,4.3,512GB,Windows 11,Grey,24.0,38.8
33,HP 15,60490.0,i5,HP,16GB,4.0,512GB,Windows 11,Silver,12.0,15.6
34,acer SmartChoice ALG,62990.0,i5,ACER,6GB,4.0,512GB,Windows 11,Gray,16.0,15.6
35,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Notebook (8 GB RAM DDR4/ 256 GB SSD/Numeric Touch Pad/1MP Webcam/Silver),14990.0,,THOMSON,8GB,3.0,256GB,,Silver,46.0,
36,ASUS Vivobook Go 14,37576.0,Ryzen 5,ASUS,8GB,5.0,512GB,Windows 11,Black,23.0,14.0
37,Dell 15,57926.0,i5,DELL,16GB,3.7,1TB,Windows 11,Silver,26.0,15.6
38,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg)",38390.0,Ryzen 5,LENOVO,,4.0,512GB,Windows 11,Grey,46.0,15.6
39,MSI Thin 15,60990.0,i5,MSI,,4.2,512GB,Windows 11,Gray,27.0,40.0
40,"Lenovo V15 Intel Core i3 13th Gen (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey) 15.6"" FHD (1920x1080) Antiglare 250 Nits Thin & Light Laptop/1Y Onsite/1.65 kg",44990.0,i3,LENOVO,16GB,3.9,512GB,Windows 11,Grey,38.0,15.6
41,HP 15,67990.0,i7,HP,16GB,4.0,512GB,Windows 11,Silver,16.0,39.6
42,HP OmniBook 3 AMD Ryzen AI 5 330 Next Gen AI Laptop,67990.0,,HP,24GB,4.3,1TB,Windows 11,Silver,19.0,15.6
43,HP OmniBook 5 (Previously Pavilion) Intel 13th Gen Core i5 1334U (16GB LPDDR5X,59990.0,i5,HP,16GB,4.0,512GB,Windows 11,Silver,27.0,16.0
44,Dell 15,39990.0,,DELL,8GB,4.0,512GB,Windows 11,Black,16.0,15.6
45,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,20.0,14.0
46,HP 15,67990.0,i7,HP,16GB,4.0,512GB,Windows 11,Silver,16.0,39.6
47,Dell 14,62990.0,,DELL,,3.9,16GB,Windows 11,Platinum,25.0,14.0
48,Dell 15,40990.0,i3,DELL,16GB,3.9,512GB,Windows 11,Grey,25.0,15.6
49,Lenovo IdeaPad Slim 3,51985.0,i5,LENOVO,16GB,4.2,512GB,Windows 11,Grey,38.0,15.6
50,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,20.0,14.0
51,ASUS Vivobook 15,48990.0,Ryzen 7,ASUS,16GB,4.3,512GB,Windows 11,Blue,16.0,15.6
52,"DELL 14 (2026) Intel Core 3 14th Gen 100U - (16 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD+ IPS Display/Ice Blue/1.4 kg/MSO 2021",43850.0,,DELL,16GB,5.0,512GB,Windows 11,Blue,6.0,14.0
53,"Lenovo Yoga Slim 7 (Smartchoice) Intel Core Ultra 9 185H 14""(35.5cm) WUXGA-OLED Laptop (32GB RAM/1TB SSD/AI PC/Windows 11/Microsoft 365 Basic + Office Home 2024/1Yr ADP Free/Grey/1.39Kg)",109990.0,,LENOVO,32GB,4.1,1TB,Windows 11,Grey,30.0,14.0
54,Dell 15,44326.0,,DELL,16GB,3.9,512GB,Windows 11,Black,16.0,15.6
55,HP 15,60490.0,i5,HP,16GB,4.0,512GB,Windows 11,Silver,12.0,15.6
56,ULTIMUS APEX Laptop Intel Pentium Quad Core 8 GB DDR3 512 GB SSD Expandable~1TB 14.1 HD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,18990.0,,ULTIMUS,8GB,3.4,512GB,Windows 11,Silver,53.0,
57,HP Smartchoice Victus,92990.0,i7,HP,16GB,4.0,512GB,Windows 11,Silver,8.0,15.6
58,HP 15,54990.0,i5,HP,16GB,3.9,512GB,Windows 11,Silver,16.0,15.6
59,Lenovo LOQ,76990.0,Ryzen 5,LENOVO,24GB,4.3,512GB,Windows 11,Grey,19.0,15.6
60,MSI Katana 15,114990.0,i7,MSI,,4.4,512GB,Windows 11,Black,11.0,40.0
61,HP Laptop 15,55990.0,i5,HP,16GB,4.0,512GB,Windows 11,Silver,22.0,15.6
62,Portable Touchscreen,16999.0,,PORTABLE,,4.1,,,,26.0,15.6
63,"DELL 14 (2026) Intel Core 3 14th Gen 100U - (8 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD+ IPS Display/Ice Blue/1.4 kg/MSO 2021",38350.0,,DELL,8GB,,512GB,Windows 11,Blue,41.0,14.0
64,Lenovo IdeaPad Slim 3 13th Gen Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/Top Metal Cover/Backlit Keyboard/1Yr ADP/Grey/1.6Kg),62700.0,i5,LENOVO,16GB,4.3,512GB,Windows 11,Grey,24.0,38.8
65,HP OmniBook 3 AMD Ryzen AI 5 330 Next Gen AI Laptop,67990.0,,HP,24GB,4.3,1TB,Windows 11,Silver,19.0,15.6
66,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,20.0,14.0
67,Lenovo IdeaPad Slim 3 13th Gen Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/Top Metal Cover/Backlit Keyboard/1Yr ADP/Grey/1.6Kg),62700.0,i5,LENOVO,16GB,4.3,512GB,Windows 11,Grey,24.0,38.8
68,Lenovo LOQ AMD Ryzen 5 7235HS,79990.0,Ryzen 5,LENOVO,16GB,4.3,512GB,Windows 11,Grey,19.0,15.6
69,ASUS Gaming V16 (2025) 14th Gen,92990.0,,ASUS,16GB,4.2,512GB,Windows 11,Black,18.0,
70,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),67490.0,Ryzen 7,LENOVO,16GB,4.8,512GB,Windows 11,Grey,29.0,38.8
71,ASUS TUF A16 (2025),89990.0,Ryzen 7,ASUS,16GB,4.1,1TB,Windows 11,Gray,22.0,16.0
72,ASUS Vivobook 15 (2025),38974.0,i3,ASUS,8GB,5.0,512GB,Windows 11,Silver,24.0,15.6
73,Cable World® Educational Laptop Computer Toy for Kids Above 3 Years - 20 Fun Activity Learning Machine,699.0,,CABLE,,3.8,,,,73.0,
