,Product Name,Price,Brand
0,HP Omnibook 5 OLED,"69,990",HP
1,"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg)","90,990",LENOVO
2,"EBook 11.6"" HD Laptop","10,990",EBOOK
3,JioBook 11 with Lifetime Office,"10,990",JIOBOOK
4,Ienovo ThinkPad L14,"25,995",IENOVO
5,"BrowseBook 14.1"" FHD IPS Laptop","12,990",BROWSEBOOK
6,HP 15,"41,990",HP
7,Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg),N/A,LENOVO
8,HP 15,"36,990",HP
9,Thomson NEO 14.1 Inch IN-N14C Intel Celeron Dual Core N4020 Processor Windows 11 Home Notebook (8 GB RAM DDR4/ 256 GB SSD/Thin & Light Weight/Silver/Non Stop Performance Beyond 15 Hrs),"17,990",THOMSON
10,Dell 15,"56,990",DELL
11,"Lenovo ThinkPad E14 Intel Core i7 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/DOS/Backlit Keyboard/Fingerprint/Arctic Grey/ 1Y Onsite/1.41 kg)","82,490",LENOVO
12,HP 15 Consumer Series Laptop,"41,990",HP
13,ASUS Vivobook 14,"36,700",ASUS
14,"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display","28,690",HP
15,ASUS Vivobook Go 14,"34,790",ASUS
16,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),"12,990",THOMSON
17,HP 15 Laptop,"49,990",HP
18,Walker Best Student & Office Work Laptop,"16,990",WALKER
19,acer Aspire 3,"31,999",ACER
20,HP Pavilion x360,"77,490",HP
21,"Lenovo ThinkPad E14 Intel Core i7 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/1TB SSD/Windows 11 Home/Backlit Keyboard/FPR/Black/1Y Onsite/1.41 kg)","94,990",LENOVO
22,Dell 15,"56,990",DELL
23,"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg)","90,990",LENOVO
24,HP Smartchoice Omen AMD Ryzen 7 7840Hs,"1,26,220",HP
25,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Notebook (8 GB RAM DDR4/ 256 GB SSD/Numeric Touch Pad/1MP Webcam/Silver),"14,990",THOMSON
26,HP Chromebook X360 Intel Celeron N4020 14 inch(35.6 cm) Micro-Edge,"25,990",HP
27,HP Pavilion x360,"77,490",HP
28,"Lenovo V15 Intel Core i3 13th Gen (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey) 15.6"" FHD (1920x1080) Antiglare 250 Nits Thin & Light Laptop/1Y Onsite/1.65 kg",N/A,LENOVO
29,ULTIMUS APEX Laptop Intel Pentium Quad Core 8 GB DDR3 512 GB SSD Expandable~1TB 14.1 HD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,"18,990",ULTIMUS
30,Lenovo IdeaPad Slim 3,"51,616",LENOVO
31,ASUS Vivobook 15,"48,990",ASUS
32,Lenovo IdeaPad 5 2-in-1 Convertible Laptop,"88,800",LENOVO
33,"Lenovo ThinkPad E14 Intel Core i7 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/DOS/Backlit Keyboard/Fingerprint/Arctic Grey/ 1Y Onsite/1.41 kg)","82,490",LENOVO
34,"Lenovo V15 G4 15.6"" FHD Business Laptop Computer","57,999",LENOVO
35,HP 15,"69,990",HP
36,HP Victus,"62,990",HP
37,ASUS Gaming V16 (2025),"99,990",ASUS
38,HP Omen,"1,55,490",HP
39,HP 15,"67,990",HP
40,HP 15,"54,990",HP
41,ASUS TUF A15,"82,990",ASUS
42,acer Aspire Lite,"46,990",ACER
43,Ultimus APEX TwinX 2-in-1 Touchscreen Laptop 16 GB RAM 512 GB SSD Intel® Core™ i3-1215U,"45,990",ULTIMUS
44,Dell 15,"56,990",DELL
45,"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg)","90,990",LENOVO
46,HP Chromebook X360 Intel Celeron N4020 14 inch(35.6 cm) Micro-Edge,"25,990",HP
47,ASUS TUF A15,"82,990",ASUS
48,HP 15 255R G10,"38,990",HP
49,HP Victus,"80,490",HP
50,Primebook 2 Pro 2025 (New Launch),"19,990",PRIMEBOOK
51,ASUS Vivobook S16,"67,990",ASUS
52,HP Smartchoice Victus,"1,05,990",HP
